Model          ,loss    ,Dataset     ,Epoch ,accuracy            ,precision           ,sensitivity         ,specificity        ,f1_score            ,meaniou              ,fwiou                ,iou                 ,dice                ,hd
UNet           ,BCE     ,dsb2018Cell ,40    ,0.8081127565298507  ,0.734131404349335   ,0.7760902555279533  ,0.8090280748076847 ,0.6895551297250252  ,0.667387646307951    ,0.7459054433797057   ,0.5653724197631408  ,0.6895551297250254  ,7.119202181494005
unet++         ,BCE     ,dsb2018Cell ,40    ,0.9548388808520872  ,0.8475681863140265  ,0.8643054192477786  ,0.9696835427888316 ,0.843936921945436   ,0.8476254643609642   ,0.921187453481617    ,0.751302764390155   ,0.843936921945436   ,5.530709992051996
Attention_UNet ,BCE     ,dsb2018Cell ,40    ,0.9369432819423391  ,0.8390647142478203  ,0.8115217442293882  ,0.9581975607083899 ,nan                 ,0.8057738716806593   ,0.8938399777233326   ,0.6893837147338241  ,0.7977536018423401  ,5.504998382617989
fcn32s         ,BCE     ,dsb2018Cell ,40    ,0.9473203972204408  ,0.791446653706372   ,0.8557048766422675  ,0.9612608288398624 ,0.815305603208532   ,0.818257297963582    ,0.9086331054855933   ,0.7015475410385195  ,0.8153056032085316  ,5.36957764347862
cenet          ,BCE     ,dsb2018Cell ,40    ,0.961186423230527   ,0.8870030653241413  ,0.8316195500743812  ,0.9824513687455867 ,0.845881808012019   ,0.8543588341511302   ,0.9289443677331356   ,0.7560013873448532  ,0.845881808012019   ,4.761317569956526
design_two     ,hybrid  ,dsb2018Cell ,40    ,0.9620411431611474  ,0.7962234854618545  ,0.929698662353482   ,0.9609443598550894 ,0.852556731883507   ,0.8567305704679846   ,0.9325095986675939   ,0.7623367333544746  ,0.8525572143647031  ,4.622415143794503

UNet           ,BCE     ,isbicell    ,40    ,0.9211864471435547  ,0.9448036499658777  ,0.9555276884240792  ,0.7915409392842184 ,0.9500196765097836  ,0.7930753038822228   ,0.8579607094902006   ,0.9050471769384774  ,0.9500196765097836  ,10.33350112201772
resnet34_unet  ,BCE     ,isbicell    ,40    ,0.9135729471842448  ,0.9538368317908721  ,0.9352906404337147  ,0.8331532627218086 ,0.9444422852259633  ,0.7830595771951506   ,0.8479631828060307   ,0.8949611998424473  ,0.9444422852259633  ,10.654328325105054
unet++         ,BCE     ,isbicell    ,40    ,0.9169896443684896  ,0.9461944709619546  ,0.9482157000741999  ,0.8010858616290691 ,0.9471435608201659  ,0.7863996067872514   ,0.8520916147095311   ,0.8999203408454597  ,0.9471435608201659  ,10.269092489520178
Attention_UNet ,BCE     ,isbicell    ,40    ,0.9172662099202474  ,0.9503595983519322  ,0.944094405637848   ,0.8150619255543844 ,0.9469023626677672  ,0.7889588920509559   ,0.8530355843089271   ,0.8995790919216976  ,0.9469023626677671  ,10.238141873273769
cenet          ,BCE     ,isbicell    ,40    ,0.9140650431315104  ,0.9425241931952072  ,0.9484071484749689  ,0.7848533544697925 ,0.9454406250774009  ,0.7781153970730385   ,0.8469576930565373   ,0.8967615992936819  ,0.9454406250774009  ,10.247605668585642
fcn32s         ,BCE     ,isbicell    ,40    ,0.8909689585367838  ,0.9140268341948309  ,0.9508460172246531  ,0.6672990325692916 ,0.9320461897344036  ,0.718679945344264    ,0.8081701978015486   ,0.8730319717162499  ,0.9320461897344036  ,10.796779760151962
myChannelUnet  ,BCE     ,isbicell    ,40    ,0.9176413218180338  ,0.9499621107311434  ,0.9446255169357963  ,0.8162482452654424 ,0.9471092976174414  ,0.7909868191474212   ,0.8540963438696793   ,0.900136392958382   ,0.9471092976174417  ,10.158634280174619
myChannelUnet  ,BCE     ,isbicell    ,40    ,0.9198678334554037  ,0.9460895413018608  ,0.9522871379679244  ,0.7986649450533126 ,0.9491403255854305  ,0.7910954528647958   ,0.8561897962067119   ,0.9034117125759197  ,0.9491403255854306  ,10.441780844520183
Lite_RASPP     ,BCE     ,isbicell    ,40    ,0.8169746398925781  ,0.8347472345585852  ,0.9579500264869756  ,0.2882145807693621 ,0.8919277945183303  ,0.5264995025766422   ,0.6883504577056168   ,0.8051722872325425  ,0.8919282920430548  ,10.708352575406103
res2net        ,BCE     ,isbicell    ,40    ,0.8607565561930338  ,0.8921160090666335  ,0.9370355292687162  ,0.5794854891797153 ,0.9137202509806026  ,0.6547786395683537   ,0.7628342366799478   ,0.8417045546372917  ,0.9137207505113528  ,11.06912358870595
